Marca temporal,¿Cuántos TFG/TFM ha supervisado en los últimos tres años?,¿Ha utilizado metodologías ágiles en el desarrollo de sus TFG/TFM?,Dividir el desarrollo del TFG/TFM en entregas pequeñas y frecuentes mejora la calidad del trabajo del estudiante.,La retroalimentación iterativa durante el desarrollo del TFG/TFM mejora los resultados finales del proyecto.,La implementación de metodologías ágiles facilita tanto la supervisión como el desarrollo del TFG/TFM.,El uso de herramientas ágiles contribuye a un mejor desarrollo y seguimiento del TFG/TFM.,¿Qué aspectos del desarrollo de un TFG/TFM considera más aptos para aplicar metodologías ágiles?,"Desde su experiencia, ¿Cuáles son los mayores retos para aplicar metodologías ágiles en el desarrollo de un TFG/TFM?",¿Considera que el uso de metodologías ágiles puede adaptarse a estudiantes con niveles variados de autonomía y experiencia?,¿Qué herramientas recomendaría para implementar metodologías ágiles en el desarrollo de TFG/TFM?,"¿Te gustaría comentar tu experiencia o sugerir medidas que crees que podrían haber mejorado la organización o el desarrollo de los TFG/TFM? (opcional)
(Por ejemplo: herramientas, tipo de apoyo del tutor, planificación, etc.)"
7/12/2024 16:32:05,Más de 5,Sí,5,5,3,3,"Planificación del proyecto, Dividir el trabajo en tareas pequeñas y manejables","Falta de tiempo para aplicar un enfoque iterativo, Dificultades para usar herramientas ágiles, Resistencia por parte de los tutores",Sí,"Herramientas de gestión de proyectos (Ej. Jira, Trello), Herramientas de control de versiones (Ej. GitHub, GitLab)",Contar con plantillas predefinidas para diversas partes del TFG 
7/12/2024 18:54:49,Más de 5,No,4,5,3,3,"Planificación del proyecto, Seguimiento iterativo del progreso","Dificultades para usar herramientas ágiles, Resistencia por parte de los tutores",Tal vez,"Herramientas de gestión de proyectos (Ej. Jira, Trello), Herramientas de comunicación (Ej. Slack, Microsoft Teams)","Uso de herramientas online como https://miro.com favorecen mucho la comunicación, así como la planificación de tareas a corto / medio / largo plazo."
7/12/2024 18:57:30,Ninguno,No,4,5,3,3,Seguimiento iterativo del progreso,Falta de tiempo para aplicar un enfoque iterativo,Sí,"Herramientas de gestión de proyectos (Ej. Jira, Trello), Herramientas de control de versiones (Ej. GitHub, GitLab)",
7/12/2024 19:22:13,Más de 5,No,4,4,3,3,"Seguimiento iterativo del progreso, Dividir el trabajo en tareas pequeñas y manejables",Falta de tiempo para aplicar un enfoque iterativo,Sí,"Herramientas de control de versiones (Ej. GitHub, GitLab)",
7/12/2024 23:24:51,3-5,No,3,5,2,2,"Planificación del proyecto, Seguimiento iterativo del progreso, Dividir el trabajo en tareas pequeñas y manejables","Falta de tiempo para aplicar un enfoque iterativo, Resistencia por parte de los tutores",Tal vez,-,
8/12/2024 11:31:29,Más de 5,Sí,5,5,5,5,"Seguimiento iterativo del progreso, Dividir el trabajo en tareas pequeñas y manejables","Resistencia por parte de los estudiantes, Resistencia por parte de los tutores",Tal vez,"Herramientas de gestión de proyectos (Ej. Jira, Trello), Herramientas de documentación (Ej. Google Docs, Notion)",
8/12/2024 13:43:44,Más de 5,No,3,4,3,3,Seguimiento iterativo del progreso,NS/NC,Tal vez,NS/NC,No
8/12/2024 21:06:55,Más de 5,No,4,5,4,5,"Planificación del proyecto, Seguimiento iterativo del progreso, Dividir el trabajo en tareas pequeñas y manejables",Falta de tiempo para aplicar un enfoque iterativo,Sí,"Herramientas de comunicación (Ej. Slack, Microsoft Teams)",
9/12/2024 17:11:36,3-5,Sí,5,5,4,4,"Planificación del proyecto, Seguimiento iterativo del progreso, Dividir el trabajo en tareas pequeñas y manejables",Falta de tiempo para aplicar un enfoque iterativo,Sí,"Herramientas de control de versiones (Ej. GitHub, GitLab), Herramientas de comunicación (Ej. Slack, Microsoft Teams)",
10/12/2024 10:30:42,3-5,Sí,5,5,5,5,"Planificación del proyecto, Seguimiento iterativo del progreso, Dividir el trabajo en tareas pequeñas y manejables","Falta de tiempo para aplicar un enfoque iterativo, Resistencia por parte de los estudiantes",Sí,"Herramientas de control de versiones (Ej. GitHub, GitLab)",
10/12/2024 12:40:19,Más de 5,Sí,5,5,5,5,"Planificación del proyecto, Seguimiento iterativo del progreso, Dividir el trabajo en tareas pequeñas y manejables","los alumnos la conocen, al menos el uso de tableros Kanban lo hacen",Sí,"Herramientas de gestión de proyectos (Ej. Jira, Trello), Herramientas de control de versiones (Ej. GitHub, GitLab), Herramientas de comunicación (Ej. Slack, Microsoft Teams), Herramientas de documentación (Ej. Google Docs, Notion)",
10/12/2024 13:04:03,Más de 5,No,4,3,3,3,"Planificación del proyecto, Dividir el trabajo en tareas pequeñas y manejables","Falta de tiempo para aplicar un enfoque iterativo, Resistencia por parte de los estudiantes, Resistencia por parte de los tutores",Tal vez,"Herramientas de comunicación (Ej. Slack, Microsoft Teams)",
10/12/2024 15:42:53,Más de 5,No,4,4,4,4,"Seguimiento iterativo del progreso, Dividir el trabajo en tareas pequeñas y manejables","Falta de tiempo para aplicar un enfoque iterativo, Resistencia por parte de los tutores",Sí,"Herramientas de gestión de proyectos (Ej. Jira, Trello), Herramientas de control de versiones (Ej. GitHub, GitLab)",Especificación de objetivos concretos y periódicos. Estimación del esfuerzo para desarrollar una tarea. 
,,,"4,230769231","4,615384615","3,615384615","3,692307692",,,,,