Marca temporal,¿Cuál es tu situación actual respecto al TFG/TFM?,¿Qué tan útil te parece esta plantilla para la planificación inicial de tu TFG/TFM?,¿Qué elementos usarías de esta plantilla?,¿Mejorarías algo? (Opcional),¿Qué tan útil te parece la plantilla sobre gestión del trabajo para tu TFG/TFM?,¿Mejorarías algo? (Opcional),¿Cuál de las siguientes opciones describe mejor el tipo de TFG/TFM que estás realizando?  ,"Has indicado que tu TFG/TFM no encaja en ninguna de las categorías anteriores. Por favor, describe brevemente el tipo de trabajo que estás realizando: ","Aunque tu TFG/TFM no encaje exactamente en las categorías anteriores, ¿Cuál de las siguientes categorías crees que podría ser más útil para tu caso?  ","Si tu TFG es de desarrollo de software, ¿esta plantilla cubre tus necesidades?",¿Qué sección(es) te parece más práctica?,¿Consideras alguna de las secciones de esta plantilla innecesarias?  ,¿Mejorarías algo? (Opcional),"Si tu TFG es de investigación, ¿esta plantilla cubre tus necesidades?",¿Qué sección(es) te parece más práctica?,¿Consideras alguna de las secciones de esta plantilla innecesarias?  ,¿Mejorarías algo? (Opcional),"Si tu TFG es sobre Estudio Comparativo, ¿esta plantilla cubre tus necesidades?",¿Qué sección(es) te parece más práctica?,¿Consideras alguna de las secciones de esta plantilla innecesarias?  ,¿Mejorarías algo? (Opcional),"Si tu TFG es sobre Aplicación en Empresa o Entorno Real, ¿esta plantilla cubre tus necesidades?",¿Qué sección(es) te parece más práctica?,¿Consideras alguna de las secciones de esta plantilla innecesarias?     ,¿Mejorarías algo? (Opcional),"Si tu TFG es Interdisciplinar, ¿esta plantilla cubre tus necesidades?",¿Qué sección(es) te parece más práctica?,¿Consideras alguna de las secciones de esta plantilla innecesarias?  ,¿Mejorarías algo? (Opcional),¿Cómo valoras la utilidad de esta plantilla de memoria final?,¿La estructura de la memoria final te parece adecuada para organizar todo el contenido de tu TFG/TFM?  ,¿Mejorarías algo? (Opcional),¿Cuánto crees que estas plantillas facilitan el desarrollo de un TFG/TFM?,¿Qué plantillas recomendarías/utilizarías?,¿Te gustaría sugerir algún cambio? (opcional)
20/02/2025 11:04:19,Estoy matriculado pero no estoy realizando el TFG/TFM,5,"Objetivos, Metodología, Planificación de fases",,3,,Desarrollo de software,,,Parcialmente,"Requisitos del sistema, Diseño del sistema, Implementación","Pruebas, Documentación Técnica",,,,,,,,,,,,,,,,,,4,Sí,,4,"Planificación inicial, Gestión de Trabajo, Desarrollo Software, Aplicación en Empresa, Memoria Final",
20/02/2025 17:20:34,Estoy matriculado pero no estoy realizando el TFG/TFM,4,"Objetivos, Metodología, Planificación de fases, Identificación de Riesgos y Estrategias de Mitigación, Sistema de seguimiento y revisión",,5,,Desarrollo de software,,,Sí,"Requisitos del sistema, Diseño del sistema, Implementación, Pruebas, Documentación Técnica","No, todas son necesarias",,,,,,,,,,,,,,,,,,5,Sí,,5,"Planificación inicial, Gestión de Trabajo, Desarrollo Software, Investigación, Memoria Final",
23/02/2025 21:33:18,Estoy matriculado pero no estoy realizando el TFG/TFM,4,"Objetivos, Metodología, Planificación de fases, Sistema de seguimiento y revisión",,5,,Desarrollo de software,,,Sí,"Requisitos del sistema, Diseño del sistema, Implementación, Pruebas, Documentación Técnica","No, todas son necesarias",,,,,,,,,,,,,,,,,,4,Sí,,4,"Planificación inicial, Gestión de Trabajo, Desarrollo Software, Memoria Final",
19/02/2025 21:46:43,Estoy matriculado y realizando el TFG/TFM,5,Metodología,,5,,Desarrollo de software,,,Parcialmente,Pruebas,"No, todas son necesarias",,,,,,,,,,,,,,,,,,5,Sí,,5,Desarrollo Software,
19/02/2025 21:56:35,Estoy matriculado y realizando el TFG/TFM,5,"Objetivos, Planificación de fases, Sistema de seguimiento y revisión",,5,,Estudio comparativo,,,,,,,,,,,Parcialmente,Resultados,"No, todas son necesarias",,,,,,,,,,4,Sí,,4,Estudio Comparativo,
19/02/2025 22:01:06,Estoy matriculado y realizando el TFG/TFM,2,"Objetivos, Planificación de fases",,3,,Aplicación en empresa o entorno real,,,,,,,,,,,,,,,Parcialmente,Requisitos del Cliente,"Pruebas Funcionales, Retroalimentación del Cliente",,,,,,3,Tal vez,,3,"Gestión de Trabajo, Desarrollo Software",
19/02/2025 22:01:42,Estoy matriculado y realizando el TFG/TFM,4,"Objetivos, Planificación de fases, Sistema de seguimiento y revisión",,5,Añadiría columna de estimación de tiempo para poder llevar un seguimiento por tareas del tiempo empleado,Investigación,,,,,,,Parcialmente,"Análisis de datos, Conclusiones","No, todas son necesarias",Quizás usaría la plantilla para un artículo/conferencia en lugar de para abarcar toda la bibliografía ,,,,,,,,,,,,,5,Sí,,4,"Planificación inicial, Gestión de Trabajo, Investigación, Estudio Comparativo, Memoria Final",
19/02/2025 23:34:41,Estoy matriculado y realizando el TFG/TFM,4,"Planificación de fases, Identificación de Riesgos y Estrategias de Mitigación, Sistema de seguimiento y revisión","A la sección de objetivos, daría ejemplos algo más concretos.",3,,Desarrollo de software,,,Parcialmente,"Requisitos del sistema, Diseño del sistema, Implementación, Pruebas, Documentación Técnica",Pruebas,,,,,,,,,,,,,,,,,,4,Tal vez,,5,"Planificación inicial, Gestión de Trabajo, Desarrollo Software, Memoria Final",
20/02/2025 9:24:35,Estoy matriculado y realizando el TFG/TFM,2,"Metodología, Sistema de seguimiento y revisión",,3,,Desarrollo de software,,,Sí,"Diseño del sistema, Implementación, Documentación Técnica",Requisitos del sistema,,,,,,,,,,,,,,,,,,3,No,,3,"Planificación inicial, Desarrollo Software",
20/02/2025 9:37:45,Estoy matriculado y realizando el TFG/TFM,5,"Objetivos, Metodología, Planificación de fases, Sistema de seguimiento y revisión",,5,,Desarrollo de software,,,Parcialmente,"Diseño del sistema, Implementación, Documentación Técnica","No, todas son necesarias",Creo que también debería incluirse una plantilla para el desarrollo de juegos - no solo de aplicaciones web,,,,,,,,,,,,,,,,,4,Sí,,5,"Planificación inicial, Gestión de Trabajo, Memoria Final",
20/02/2025 10:09:36,Estoy matriculado y realizando el TFG/TFM,3,Metodología,,3,,Desarrollo de software,,,Parcialmente,"Implementación, Pruebas, Documentación Técnica","No, todas son necesarias",,,,,,,,,,,,,,,,,,2,Tal vez,,3,"Gestión de Trabajo, Desarrollo Software, Investigación",
20/02/2025 10:30:07,Estoy matriculado y realizando el TFG/TFM,4,"Objetivos, Metodología",,2,,Estudio comparativo,,,,,,,,,,,Parcialmente,"Herramientas Evaluadas, Resultados, Conclusión",Criterios de Comparación,,,,,,,,,,5,Sí,,5,"Gestión de Trabajo, Investigación",
20/02/2025 11:08:23,Estoy matriculado y realizando el TFG/TFM,3,"Objetivos, Metodología, Planificación de fases",,1,,Desarrollo de software,,,Parcialmente,"Requisitos del sistema, Diseño del sistema",Documentación Técnica,,,,,,,,,,,,,,,,,,3,Tal vez,,4,Desarrollo Software,
20/02/2025 16:03:06,Estoy matriculado y realizando el TFG/TFM,5,"Metodología, Planificación de fases, Identificación de Riesgos y Estrategias de Mitigación, Sistema de seguimiento y revisión",,5,,Aplicación en empresa o entorno real,,,,,,,,,,,,,,,Parcialmente,"Desarrollo de la Solución, Pruebas Funcionales, Retroalimentación del Cliente","No, todas son necesarias",,,,,,4,Tal vez,,5,"Planificación inicial, Gestión de Trabajo, Aplicación en Empresa",
20/02/2025 17:02:47,Estoy matriculado y realizando el TFG/TFM,4,"Objetivos, Metodología, Planificación de fases, Identificación de Riesgos y Estrategias de Mitigación",,3,,Investigación,,,,,,,Sí,"Revisión bibliográfica, Metodología, Análisis de datos, Resultados y Discusión, Conclusiones","No, todas son necesarias",,,,,,,,,,,,,,4,Sí,,5,"Investigación, Memoria Final",
20/02/2025 17:23:45,Estoy matriculado y realizando el TFG/TFM,4,"Objetivos, Planificación de fases, Identificación de Riesgos y Estrategias de Mitigación, Sistema de seguimiento y revisión",,2,,Estudio comparativo,,,,,,,,,,,Parcialmente,"Criterios de Comparación, Herramientas Evaluadas, Resultados, Conclusión","No, todas son necesarias",,,,,,,,,,4,Tal vez,,2,"Planificación inicial, Estudio Comparativo, Memoria Final",
22/02/2025 19:45:59,Estoy matriculado y realizando el TFG/TFM,5,"Objetivos, Metodología, Planificación de fases, Identificación de Riesgos y Estrategias de Mitigación, Sistema de seguimiento y revisión",,5,,Desarrollo de software,,,Sí,"Requisitos del sistema, Diseño del sistema, Implementación, Pruebas, Documentación Técnica",Pruebas,,,,,,,,,,,,,,,,,,5,Tal vez,,5,"Planificación inicial, Desarrollo Software, Memoria Final",
23/02/2025 19:01:31,Estoy matriculado y realizando el TFG/TFM,4,"Objetivos, Planificación de fases, Identificación de Riesgos y Estrategias de Mitigación, Sistema de seguimiento y revisión",,3,,Investigación,,,,,,,Sí,"Revisión bibliográfica, Análisis de datos, Resultados y Discusión, Conclusiones","No, todas son necesarias",,,,,,,,,,,,,,4,Tal vez,,3,"Planificación inicial, Gestión de Trabajo, Desarrollo Software, Investigación, Memoria Final",
25/02/2025 18:42:16,Estoy matriculado y realizando el TFG/TFM,4,"Objetivos, Planificación de fases, Sistema de seguimiento y revisión",,3,,Investigación,,,,,,,Sí,"Metodología, Análisis de datos, Resultados y Discusión","No, todas son necesarias",,,,,,,,,,,,,,5,Sí,,4,"Planificación inicial, Gestión de Trabajo, Investigación, Estudio Comparativo, Memoria Final",
17/02/2025 11:29:27,Ya he presentado el TFG/TFM,3,"Objetivos, Metodología, Planificación de fases, Identificación de Riesgos y Estrategias de Mitigación, Sistema de seguimiento y revisión",,3,,Otro,Análisis y evaluación de herramientas,Estudio Comparativo,,,,,,,,,Parcialmente,"Criterios de Comparación, Conclusión","No, todas son necesarias",no,,,,,,,,,3,Tal vez,,3,"Planificación inicial, Desarrollo Software, Estudio Comparativo",
19/02/2025 22:39:47,Ya he presentado el TFG/TFM,4,"Metodología, Planificación de fases, Sistema de seguimiento y revisión",,4,,Investigación,,,,,,,Parcialmente,"Metodología, Resultados y Discusión, Conclusiones","Revisión bibliográfica, Análisis de datos",Introducción ,,,,,,,,,,,,,4,Sí,,3,"Planificación inicial, Gestión de Trabajo, Memoria Final",
19/02/2025 23:44:04,Ya he presentado el TFG/TFM,3,"Objetivos, Metodología",,3,,Desarrollo de software,,,No,Implementación,"No, todas son necesarias",,,,,,,,,,,,,,,,,,3,Tal vez,,5,Desarrollo Software,
20/02/2025 8:09:20,Ya he presentado el TFG/TFM,5,"Planificación de fases, Sistema de seguimiento y revisión",,5,"Pondría una columna ""Dificultad""",Investigación,,,,,,,Sí,"Metodología, Análisis de datos, Resultados y Discusión","No, todas son necesarias",,,,,,,,,,,,,,5,Sí,,5,"Investigación, Estudio Comparativo",
21/02/2025 9:54:20,Ya he presentado el TFG/TFM,4,"Objetivos, Planificación de fases, Sistema de seguimiento y revisión",Añadiría una sección de background o conceptos necesarios para comprender el trabajo ,3,,Investigación,,,,,,,Parcialmente,"Revisión bibliográfica, Análisis de datos, Resultados y Discusión, Conclusiones","No, todas son necesarias",,,,,,,,,,,,,,4,Sí,Sección de background,4,Investigación,
,,"3,958333333",,,"3,625",,,,,,,,,,,,,,,,,,,,,,,,,4,,,"4,083333333",,